ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
3902377,BO,295.15,94,-14.83,-64.9,20,2.28
3423146,GL,283.15,57,69.22,-51.1,75,1
3686460,CO,291.15,100,7.14,-72.66,75,2.1
3129839,ES,300.15,54,42.56,-2.36,7,4.1
2126710,RU,281.2,83,63.05,179.32,0,2.12
2160517,AU,278.15,86,-41.45,147.17,15,2.1
3459138,BR,288.15,87,-19.63,-43.89,1,1
577560,RU,290.15,67,53.21,34.66,75,5
3628473,VE,299.15,61,7.77,-72.22,40,3.1
2145875,AU,278.19,88,-35.3,148.22,1,1
2370473,GW,301.57,78,11.33,-14.93,98,1.76
4034551,PF,297.87,81,-16.48,-151.75,43,7.91
1850523,JP,298.71,85,34.98,139.87,86,6.45
2094342,PG,301.31,77,-2.57,150.8,9,4.92
3374210,CV,298.86,80,14.9,-24.5,99,2.36
3421765,GL,285.31,57,60.14,-45.24,59,7.16
1795196,CN,292.18,86,35.08,109.09,97,2.44
1926055,JP,299.15,88,33.5,132.55,75,2.6
5546220,US,301.15,26,37.1,-113.58,1,4.6
2172880,AU,287.15,76,-28.65,153.62,90,2.6
1637510,ID,297.99,90,-0.58,117.09,94,1.1
2025256,RU,283.54,93,54.72,135.31,96,3.78
3840092,AR,276.15,86,-42.77,-65.04,75,5.1
3175096,IT,297.04,46,46.62,10.7,75,2.6
3696183,PE,295.8,91,-3.75,-73.25,28,0.22
1133574,AF,307.8,22,34.67,70.21,0,3.14
3386213,BR,297.15,83,-5.2,-35.46,1,3.6
518619,RU,297.02,66,54.2,49.95,7,2.66
2206894,NZ,283.62,74,-42.72,170.97,97,8.92
3843123,AR,277.15,86,-38.95,-68.06,90,2.6
3139597,NO,285.93,81,63.73,8.83,75,6.2
1642773,ID,298.16,92,-0.32,102.35,99,0.84
3893629,CL,282.15,93,-29.95,-71.34,40,1.5
3867427,PY,297.75,39,-19.93,-60.77,10,4.65
2455290,ML,310.03,27,18.44,1.41,0,3.05
3462557,BR,291.48,77,-29.26,-51.53,82,2.24
3939761,PE,288.74,84,-11.1,-77.61,90,2.45
1524296,KZ,298.8,40,51.96,66.4,72,5.82
145952,CY,304.15,70,34.69,32.96,20,5.7
315530,TR,300.15,54,39.03,43.36,20,4.6
3356332,NA,297.89,17,-21.93,15.83,0,5.24
3933104,PE,293.4,80,-12.12,-73,42,0.9
3372707,PT,296.15,60,38.52,-28.7,75,2.1
2260401,CG,304.26,32,-2.54,14.75,47,1.86
3981391,MX,295.72,94,19.93,-105.25,28,1.33
1489822,RU,289.15,91,57.31,88.17,26,2.07
2446796,NE,313,18,18.69,12.92,1,1.84
701305,UA,299.36,45,48.25,36.73,0,6.19
2136150,VU,296.58,76,-15.53,167.17,22,6.44
1488708,RU,291.37,76,55.31,79.68,48,3.88
1506499,RU,296.98,54,54.91,65.09,26,4.54
3183366,IT,300.37,74,44,8.17,75,2.6
2111884,JP,293.87,92,39.64,141.95,85,0.48
3454968,BR,295.6,85,-10.69,-37.86,49,5.13
2167426,AU,287.15,100,-23.53,148.17,75,4.6
1516589,KZ,307.15,17,47.8,67.71,40,4
2015913,RU,288.55,85,62.14,117.63,79,2.22
3838859,AR,269.15,85,-51.62,-69.22,0,2.6
3650273,EC,293.19,85,-1.05,-79.62,64,2.28
5134295,US,293.15,77,43.21,-75.46,20,2.1
3522186,MX,297.1,81,18.25,-94.7,99,1.4
1278969,IN,296.93,89,28.17,94.77,100,0.49
1159384,IR,312.02,8,34.74,60.78,0,9.55
5117949,US,300.37,83,40.66,-73.58,20,1.5
2422924,GN,302.8,73,10.94,-14.3,96,1.29
2028164,RU,295.39,62,69.3,139.9,82,1.34
3619382,NI,296.67,89,12.89,-86.54,100,0.94
6067747,CA,285.15,93,49.75,-77.63,1,1.08
4513583,US,295.37,94,39.18,-84.53,75,1.5
1715335,PH,302.67,78,18.47,120.58,11,2.43
1244926,LK,303.15,79,6.12,81.12,40,4.1
3985168,MX,298.8,83,19.22,-104.7,56,1.7
138025,IR,308.77,14,36.17,54.35,0,3.44
5364022,US,291.15,77,33.85,-118.05,90,1.5
1283285,NP,294.87,52,29.27,82.18,34,2.89
1631637,ID,297.93,89,1.17,108.97,100,1.71
6094665,CA,295.15,43,49.03,-119.45,1,5.1
4920986,US,295.15,100,41.53,-87.42,90,2.1
478781,RU,297.09,61,50.08,38.04,6,5.62
1065158,MG,294.03,63,-22.82,47.83,52,4.73
3381041,GF,299.79,78,5.66,-53.78,81,1.72
1704644,PH,300.38,76,6.06,124.47,100,1.73
1242110,LK,303.07,70,7.42,81.82,100,6.21
3421319,GL,285.15,71,64.18,-51.72,20,4.1
